player_id,edition_id,place,last_place,points,appearances,goals,percentage_of_appearances,wins,draws,losts,goals_scored_by_team,goals_suffered_by_team,matchweek
1,1,1,,25.4,12,34,92.31,3,1,8,112,122,13
2,1,1,,31.7,12,17,92.31,6,0,6,108,120,13
3,1,1,,26.1,12,11,92.31,4,1,7,113,121,13
4,1,1,,29.8,13,8,100.0,5,1,7,115,133,13
5,1,1,,39.0,12,20,92.31,8,1,3,119,100,13
6,1,1,,20.4,10,4,76.92,3,1,6,75,89,13
7,1,1,,32.3,9,13,69.23,7,1,1,105,78,13
8,1,1,,30.1,9,21,69.23,6,1,2,100,83,13
9,1,1,,32.0,11,20,84.62,6,1,4,103,100,13
10,1,1,,32.6,12,16,92.31,6,1,5,119,114,13
11,1,1,,0.0,0,0,0.0,0,0,0,0,0,13
12,1,1,,32.9,13,39,100.0,5,1,7,121,127,13
1,2,1,,36.1,11,31,91.67,7,1,3,131,98,12
13,2,1,,12.7,3,7,25.0,3,0,0,30,22,12
14,2,1,,27.0,10,10,83.33,5,1,4,113,100,12
15,2,1,,13.1,6,1,50.0,2,1,3,48,54,12
16,2,1,,16.1,8,21,66.67,2,0,6,70,97,12
17,2,1,,23.9,12,19,100.0,3,1,8,111,138,12
18,2,1,,8.5,5,5,41.67,1,0,4,36,51,12
19,2,1,,33.7,10,27,83.33,7,0,3,121,94,12
20,2,1,,24.8,10,18,83.33,4,1,5,114,99,12
21,2,1,,36.6,11,36,91.67,7,1,3,124,108,12
22,2,1,,27.4,7,14,58.33,6,1,0,84,54,12
23,2,1,,22.5,11,15,91.67,3,1,7,94,139,12
1,3,1,,0.0,0,0,0.0,0,0,0,0,0,0
14,3,,,,,,,,,,,,
15,3,,,,,,,,,,,,
17,3,,,,,,,,,,,,
19,3,,,,,,,,,,,,
20,3,,,,,,,,,,,,
21,3,,,,,,,,,,,,
22,3,,,,,,,,,,,,
23,3,,,,,,,,,,,,
24,3,,,,,,,,,,,,
25,3,,,,,,,,,,,,
26,3,,,,,,,,,,,,
1,4,1,1,43.8,16,38,84.21,8,0,8,187,167,19
27,4,1,1,38.8,16,18,84.21,7,0,9,164,187,19
17,4,1,1,30.6,16,26,84.21,4,0,12,153,200,19
4,4,1,1,4.2,1,2,5.56,1,0,0,15,5,18
25,4,1,1,48.3,16,23,84.21,10,0,6,191,166,19
28,4,1,1,35.1,19,11,100.0,5,0,14,162,245,19
20,4,1,1,26.1,9,21,47.37,5,0,4,88,105,19
33,4,1,12,29.2,11,32,57.89,5,0,6,119,106,19
32,4,1,1,40.5,12,45,63.16,8,0,4,146,107,19
21,4,1,1,20.4,8,4,42.11,4,0,4,73,96,19
22,4,1,1,28.9,9,19,50.0,6,0,3,115,85,18
16,4,1,1,51.0,14,70,73.68,10,0,4,198,121,19
1,5,1,1,56.7,20,37,83.33,11,0,9,223,215,24
29,5,1,1,32.4,15,24,62.5,5,0,10,155,184,24
30,5,1,1,48.7,20,47,83.33,8,0,12,225,229,24
3,5,1,1,47.6,18,26,75.0,9,0,9,196,192,24
5,5,1,1,32.0,17,30,70.83,4,0,13,166,209,24
6,5,1,1,26.5,11,5,45.83,5,0,6,131,120,24
8,5,1,1,40.3,14,23,58.33,8,0,6,170,147,24
9,5,1,1,50.7,19,47,79.17,9,0,10,197,206,24
10,5,1,1,30.7,11,17,45.83,6,0,5,118,120,24
11,5,1,1,17.3,8,3,33.33,3,0,5,92,101,24
31,5,1,1,53.3,18,53,75.0,10,0,8,197,202,24
12,5,1,1,55.9,18,49,75.0,11,0,7,190,188,24
1,6,1,1,13.7,4,7,100.0,3,0,1,44,33,4
21,6,1,1,6.6,3,6,75.0,1,0,2,25,34,4
17,6,1,1,7.5,4,5,100.0,1,0,3,33,44,4
27,6,1,1,9.3,3,3,75.0,2,0,1,34,25,4
28,6,1,1,6.3,3,3,75.0,1,0,2,26,35,4
20,6,1,1,5.5,2,5,50.0,1,0,1,16,16,4
33,6,1,1,7.6,4,6,100.0,1,0,3,40,37,4
15,6,1,1,0.0,0,0,0.0,0,0,0,0,0,4
32,6,1,1,11.2,4,12,100.0,2,0,2,42,35,4
25,6,1,1,13.7,4,7,100.0,3,0,1,37,40,4
34,6,12,1,16.0,4,0,100.0,4,0,0,46,31,4
16,6,1,1,6.7,3,7,75.0,1,0,2,33,28,4
