Id_jogo,Id_equipa1,Id_equipa2,Vencedor,EdiçãoID,Data
1,1,2,1,1,15/10/2020
2,3,4,-1,1,22/10/2020
3,5,6,-1,1,06/06/2021
4,7,8,-1,1,13/05/2021
5,9,10,0,1,20/05/2021
6,11,12,-1,1,27/05/2021
7,13,14,-1,1,03/06/2021
8,15,16,1,1,10/06/2021
9,17,18,1,1,17/06/2021
10,19,20,1,1,24/06/2021
11,21,22,1,1,01/07/2021
12,23,24,1,1,08/07/2021
13,25,26,-1,1,15/07/2021
14,27,28,1,2,06/10/2020
15,29,30,1,2,06/10/2020
16,31,32,-1,2,13/10/2020
17,33,34,-1,2,20/10/2020
18,35,36,1,2,27/10/2020
19,37,38,-1,2,03/11/2020
20,39,40,1,2,10/11/2020
21,41,42,-1,2,17/11/2020
22,43,44,1,2,24/11/2020
23,45,46,0,2,01/12/2020
24,47,48,-1,2,02/02/2021
25,49,50,-1,2,09/02/2021
